player,player_id,position,player_game_count,team_name,targets,receptions,caught_percent,yards,touchdowns,grades_offense,grades_pass_route,grades_hands_drop,grades_hands_fumble,grades_pass_block,yards_per_reception,yards_after_catch,yards_after_catch_per_reception,longest,first_downs,drops,interceptions,fumbles,avoided_tackles,targeted_qb_rating,penalties,declined_penalties,season,week
DeAndre Hopkins,7808,WR,1,HST,22,9,40.9,157,0,79.1,77.9,57.0,70.6,,17.4,33,3.7,28,8,1,1,0,1,47.0,0,0,2015,4
Vincent Jackson,2278,WR,1,TB,14,10,71.4,147,1,70.2,69.6,58.5,71.1,,14.7,40,4.0,23,8,1,1,0,2,99.4,0,0,2015,4
Allen Hurns,8931,WR,1,JAX,14,11,78.6,116,1,81.7,80.6,78.7,71.5,,10.5,47,4.3,26,7,0,0,0,0,125.0,0,0,2015,4
Charles Clay,6326,TE,1,BUF,13,9,69.2,111,0,76.3,84.7,78.7,71.5,68.1,12.3,21,2.3,27,5,0,1,0,2,63.3,1,0,2015,4
T.Y. Hilton,7092,WR,1,IND,13,7,53.8,67,0,75.8,74.5,75.6,69.5,,9.6,41,5.9,17,4,0,0,0,2,68.4,0,0,2015,4
Odell Beckham Jr.,8647,WR,1,NYG,12,5,41.7,38,0,55.7,59.9,73.4,68.0,,7.6,16,3.2,9,1,0,0,0,2,50.0,1,0,2015,4
Demaryius Thomas,5547,WR,1,DEN,12,9,75.0,93,0,76.2,76.9,77.3,70.6,,10.3,24,2.7,30,4,0,1,0,2,62.2,1,0,2015,4
Jeremy Maclin,4942,WR,1,KC,12,11,91.7,148,0,74.3,74.0,78.7,71.5,,13.5,84,7.6,44,5,0,0,0,0,118.1,1,0,2015,4
Martellus Bennett,4375,TE,1,CHI,12,11,91.7,83,1,73.6,75.9,78.7,20.4,60.2,7.5,43,3.9,24,6,0,1,1,0,88.5,0,0,2015,4
Coby Fleener,7038,TE,1,IND,11,9,81.8,83,1,63.4,68.5,56.7,70.6,63.7,9.2,30,3.3,28,4,1,0,0,0,128.4,0,0,2015,4
Brandon Marshall,3064,WR,1,NYJ,11,7,63.6,128,0,81.0,82.7,75.6,69.5,,18.3,49,7.0,58,4,0,0,0,1,103.6,1,0,2015,4
Allen Robinson II,8696,WR,1,JAX,11,4,36.4,80,0,69.5,68.7,72.1,67.0,,20.0,11,2.8,48,3,0,0,0,0,62.7,0,0,2015,4
Calvin Johnson,3618,WR,1,DET,11,7,63.6,56,0,64.2,63.7,77.3,19.4,,8.0,13,1.9,15,3,0,0,1,0,76.3,0,0,2015,4
Jamison Crowder,9538,WR,1,WAS,10,7,70.0,65,0,68.6,67.5,52.5,72.0,,9.3,19,2.7,22,5,1,0,0,0,87.5,0,0,2015,4
Stefon Diggs,9579,WR,1,MIN,10,6,60.0,87,0,62.3,61.7,49.2,9.7,,14.5,12,2.0,25,4,1,0,2,0,88.3,0,0,2015,4
Mike Wallace,5007,WR,1,MIN,10,8,80.0,83,1,73.2,75.5,76.5,70.8,,10.4,33,4.1,18,6,0,0,0,1,134.6,1,0,2015,4
Cecil Shorts,6266,WR,1,HST,10,6,60.0,87,1,56.8,56.6,49.7,24.4,,14.5,32,5.3,42,5,1,0,1,2,121.7,0,0,2015,4
Travis Benjamin,7100,WR,1,CLV,10,6,60.0,79,0,65.5,67.1,74.6,71.6,,13.2,31,5.2,18,4,0,0,0,1,85.0,0,0,2015,4
Terrance Williams,7855,WR,1,DAL,10,3,30.0,49,1,70.3,69.4,70.5,65.8,,16.3,19,6.3,24,3,0,0,0,0,80.8,0,0,2015,4
David Johnson,9519,HB,1,ARZ,9,4,44.4,63,1,56.6,53.3,28.7,19.0,84.4,15.8,31,7.8,23,3,2,0,0,2,105.3,0,0,2015,4
Larry Fitzgerald,1724,WR,1,ARZ,9,7,77.8,99,0,63.6,59.9,52.1,18.0,,14.1,27,3.9,22,6,1,0,1,1,112.5,0,0,2015,4
Antonio Brown,5718,WR,1,PIT,9,5,55.6,42,0,62.7,60.9,46.3,72.3,,8.4,6,1.2,17,3,1,0,0,2,67.8,0,0,2015,4
John Brown,8726,WR,1,ARZ,9,7,77.8,75,0,72.8,73.4,76.5,70.8,,10.7,49,7.0,14,4,0,1,0,0,61.8,0,0,2015,4
Amari Cooper,9437,WR,1,OAK,9,4,44.4,49,1,65.1,64.2,41.6,69.0,,12.3,16,4.0,26,2,1,0,0,0,98.8,0,0,2015,4
Eddie Royal,4356,WR,1,CHI,9,7,77.8,54,1,72.6,70.2,52.1,69.5,,7.7,32,4.6,21,4,1,0,0,2,128.7,1,0,2015,4
Donte Moncrief,8725,WR,1,IND,9,6,66.7,75,0,65.2,66.9,49.7,68.8,,12.5,11,1.8,21,4,1,0,0,1,92.4,0,0,2015,4
Jarvis Landry,8698,WR,1,MIA,9,4,44.4,40,0,56.6,53.6,29.2,76.5,72.3,10.0,30,7.5,20,3,2,1,0,2,18.1,1,0,2015,4
Duke Johnson Jr.,9510,HB,1,CLV,9,9,100.0,85,1,88.2,96.3,77.3,74.9,24.5,9.4,48,5.3,34,4,0,0,0,3,143.1,0,0,2015,4
A.J. Green,6156,WR,1,CIN,9,7,77.8,82,0,79.8,78.4,75.6,69.5,,11.7,31,4.4,36,2,0,0,0,0,104.6,0,0,2015,4
Marquess Wilson,8019,WR,1,CHI,8,6,75.0,80,0,76.0,74.8,49.2,68.8,,13.3,33,5.5,35,4,1,0,0,2,106.3,0,0,2015,4
Pierre Garcon,4519,WR,1,WAS,8,7,87.5,55,1,84.6,85.3,76.5,70.1,,7.9,27,3.9,14,5,0,0,0,0,134.9,1,0,2015,4
Jordan Reed,7866,TE,1,WAS,8,5,62.5,37,0,61.2,57.0,45.8,16.0,72.2,7.4,30,6.0,15,4,1,0,1,0,73.4,1,0,2015,4
Jordan Cameron,6254,TE,1,MIA,8,2,25.0,19,0,52.5,52.3,68.3,64.0,62.7,9.5,12,6.0,11,1,0,1,0,0,0.0,0,0,2015,4
Mike Evans,8642,WR,1,TB,8,3,37.5,32,0,53.1,54.9,70.5,65.8,,10.7,16,5.3,21,1,0,2,0,1,10.4,0,0,2015,4
Brandin Cooks,8655,WR,1,NO,8,4,50.0,25,0,52.3,52.1,42.1,67.0,,6.3,20,5.0,13,1,1,0,0,0,56.8,0,0,2015,4
Leonard Hankerson,6231,WR,1,ATL,8,6,75.0,103,1,84.3,82.9,74.6,68.8,,17.2,60,10.0,55,5,0,0,0,0,156.3,0,0,2015,4
Percy Harvin,4945,WR,1,BUF,7,3,42.9,26,0,54.1,54.3,36.2,69.5,,8.7,5,1.7,13,1,1,0,0,0,53.3,0,0,2015,4
Ryan Grant,8777,WR,1,WAS,7,5,71.4,45,0,54.3,56.5,45.8,68.0,,9.0,24,4.8,16,3,1,0,0,0,88.4,1,0,2015,4
Randall Cobb,6216,WR,1,GB,7,5,71.4,44,0,60.7,60.9,45.8,68.0,,8.8,27,5.4,19,2,1,0,0,0,87.8,0,0,2015,4
Jordan Matthews,8677,WR,1,PHI,7,3,42.9,50,0,55.8,55.9,70.5,65.8,,16.7,7,2.3,30,1,0,0,0,0,67.6,1,1,2015,4
Adam Thielen,8288,WR,1,MIN,7,6,85.7,70,0,60.0,60.6,49.2,68.8,,11.7,26,4.3,18,2,1,0,0,1,108.3,0,0,2015,4
Anquan Boldin,1369,WR,1,SF,7,3,42.9,12,0,60.1,57.3,70.5,65.8,,4.0,15,5.0,8,2,0,1,0,0,10.7,0,0,2015,4
Kenny Stills,7926,WR,1,MIA,7,5,71.4,81,1,72.2,70.8,73.4,68.0,,16.2,25,5.0,42,3,0,0,0,0,149.4,0,0,2015,4
Keenan Allen,7857,WR,1,SD,7,4,57.1,72,1,61.8,63.9,41.6,69.0,,18.0,22,5.5,31,2,1,0,0,0,132.1,1,0,2015,4
Keith Mumphery,9608,WR,1,HST,7,4,57.1,56,0,58.4,58.1,72.1,71.3,,14.0,5,1.3,26,3,0,0,0,0,83.0,0,0,2015,4
Travis Kelce,7844,TE,1,KC,7,5,71.4,49,0,54.7,55.3,74.6,17.2,75.5,9.8,41,8.2,14,1,0,0,1,2,90.8,1,0,2015,4
Le'Veon Bell,7829,HB,1,PIT,7,7,100.0,21,0,79.5,62.1,75.6,78.6,57.3,3.0,27,3.9,9,0,0,0,0,0,79.2,0,0,2015,4
Tavon Austin,7789,WR,1,SL,7,6,85.7,96,2,90.1,88.3,74.6,70.6,,16.0,38,6.3,47,4,0,0,0,2,158.3,1,0,2015,4
Steve Smith,837,WR,1,BLT,7,4,57.1,24,0,66.5,66.7,72.1,67.0,,6.0,17,4.3,11,1,0,1,0,2,24.4,0,0,2015,4
Larry Donnell,7638,TE,1,NYG,7,5,71.4,38,0,61.5,62.4,73.4,68.0,76.1,7.6,24,4.8,16,2,0,0,0,0,84.2,1,0,2015,4
Steve Johnson,4538,WR,1,SD,7,4,57.1,32,0,60.9,63.6,42.1,67.0,,8.0,12,3.0,13,3,1,0,0,0,68.8,0,0,2015,4
Michael Floyd,7019,WR,1,ARZ,7,5,71.4,59,0,71.1,68.3,73.4,68.0,,11.8,12,2.4,22,3,0,0,0,0,96.7,0,0,2015,4
Frank Gore,2282,HB,1,IND,7,5,71.4,34,0,41.7,55.7,45.8,25.9,49.2,6.8,36,7.2,14,1,1,0,0,5,81.8,0,0,2015,4
Kamar Aiken,6671,WR,1,BLT,7,5,71.4,77,1,86.0,86.1,73.4,68.0,,15.4,22,4.4,20,5,0,0,0,2,147.0,0,0,2015,4
Gary Barnidge,4455,TE,1,CLV,6,6,100.0,75,1,77.0,85.9,74.6,68.8,13.6,12.5,34,5.7,27,3,0,0,0,1,158.3,1,0,2015,4
Greg Olsen,3647,TE,1,CAR,6,2,33.3,28,0,71.2,64.1,68.3,64.0,78.5,14.0,16,8.0,19,1,0,0,0,0,49.3,0,0,2015,4
Cole Beasley,7330,WR,1,DAL,6,6,100.0,62,0,75.8,74.4,74.6,68.8,,10.3,48,8.0,19,3,0,0,0,0,109.7,0,0,2015,4
Devin Smith,9470,WR,1,NYJ,6,2,33.3,14,0,53.9,53.4,68.3,64.0,,7.0,3,1.5,7,0,0,1,0,0,2.8,0,0,2015,4
Ladarius Green,7110,TE,1,SD,6,4,66.7,53,1,76.6,75.8,72.1,67.0,69.7,13.3,24,6.0,19,4,0,0,0,0,134.0,0,0,2015,4
James Jones,3694,WR,1,GB,6,5,83.3,98,0,82.0,78.5,73.4,68.0,,19.6,23,4.6,38,3,0,0,0,0,118.8,0,0,2015,4
