"Player","Team","SACK","INT","FR","FF","TD","SAFETY","PA","YDS_AGN","FPTS"
"Los Angeles Rams","","3.0","1.2","0.7","1.2","0.2","0.0","19.8","370.7","9.1"
"Los Angeles Chargers","","3.3","1.1","0.6","0.8","0.2","0.0","13.1","278.6","9.0"
"New England Patriots","","2.6","1.1","0.6","1.1","0.2","0.1","15.9","320.0","8.2"
"Pittsburgh Steelers","","3.0","0.9","0.6","1.1","0.2","0.0","19.1","322.9","8.0"
"Seattle Seahawks","","3.6","1.0","0.7","1.1","0.2","0.0","20.1","318.2","7.9"
"Baltimore Ravens","","2.5","1.1","0.6","0.8","0.2","0.0","18.5","335.4","7.9"
"Jacksonville Jaguars","","2.9","0.9","0.5","0.9","0.2","0.0","19.0","318.3","7.7"
"Indianapolis Colts","","2.8","0.7","0.7","1.2","0.1","0.0","18.9","338.1","7.6"
"Minnesota Vikings","","2.8","0.9","0.6","0.8","0.1","0.1","19.1","320.6","7.5"
"Denver Broncos","","2.7","0.7","0.7","1.2","0.2","0.1","17.7","318.2","7.4"
"Carolina Panthers","","3.4","0.9","0.6","1.0","0.1","0.0","25.1","348.4","7.3"
"Green Bay Packers","","2.9","0.9","0.7","1.2","0.2","0.0","20.6","348.4","7.1"
"Washington Redskins","","2.9","1.0","0.7","1.1","0.1","0.0","24.4","352.6","7.0"
"Chicago Bears","","2.6","0.7","0.6","1.0","0.1","0.0","17.0","297.5","7.0"
"Houston Texans","","2.6","1.0","0.6","1.1","0.2","0.0","20.5","356.0","6.9"
"Atlanta Falcons","","3.1","0.8","0.6","0.9","0.1","0.1","20.6","318.0","6.8"
"Arizona Cardinals","","3.3","0.7","0.7","1.0","0.1","0.0","25.4","359.0","6.8"
"Kansas City Chiefs","","2.6","0.9","0.6","1.0","0.2","0.0","23.1","350.6","6.7"
"Cleveland Browns","","2.4","0.8","0.7","1.2","0.1","0.0","25.2","360.5","6.0"
"New Orleans Saints","","2.7","0.6","0.6","1.1","0.1","0.0","22.9","372.2","6.0"
"New York Giants","","2.2","0.9","0.5","0.7","0.1","0.0","22.3","343.7","5.9"
"Cincinnati Bengals","","2.0","1.0","0.5","0.6","0.1","0.0","22.4","364.6","5.9"
"Tennessee Titans","","2.6","0.7","0.5","0.6","0.1","0.0","23.2","369.6","5.8"
"Dallas Cowboys","","2.3","0.7","0.6","1.1","0.1","0.0","21.1","331.2","5.8"
"Tampa Bay Buccaneers","","2.3","0.7","0.6","1.0","0.1","0.0","29.3","409.6","5.7"
"Miami Dolphins","","2.2","0.8","0.5","0.8","0.1","0.0","28.7","426.1","5.7"
"Philadelphia Eagles","","2.7","0.5","0.5","0.8","0.1","0.0","23.9","352.2","5.5"
"Detroit Lions","","2.2","0.6","0.6","0.8","0.1","0.0","28.9","428.1","5.2"
"Oakland Raiders","","2.0","0.7","0.5","0.8","0.1","0.0","24.6","358.9","5.1"
"Buffalo Bills","","1.8","0.7","0.5","0.9","0.1","0.0","23.3","354.4","5.1"
""
""
